CO-BRANCH;OFFICE;PRODUCT;GROUP;Jan-25;Feb-25;Mar-25;Apr-25;Mei-25;Jun-25;Jul-25;Agu-25;Sep-25;Okt-25;Nov-25;Des-25;Jan-26;Feb-26;Mar-26;Apr-26;Mei-26;Jun-26;Jul-26;Agu-26;Sep-26
371 - PANGKAL PINANG;372 - KCP TANJUNG PANDAN;Tabungan;CASA;12.468.027.784;10.477.285.310;9.764.341.699;10.119.761.512;9.191.531.380;9.033.608.210;9.045.568.980;8.456.711.027;7.858.265.724;8.143.205.671;10.625.751.751;10.091.384.435;8.718.496.661;8.928.656.669;9.136.425.193;8.626.662.579;8.675.759.364;9.051.533.017;9.766.054.949;9.477.621.519;8.979.875.867
371 - PANGKAL PINANG;373 - KCP SUNGAILIAT;Deposito;TD;48.281.568.877;47.281.568.877;46.631.568.877;45.631.568.877;47.081.568.877;47.631.568.877;43.081.568.877;42.931.568.877;45.973.568.877;45.973.568.877;44.473.568.877;44.523.568.877;44.963.468.877;30.173.468.877;45.183.468.877;43.783.468.877;42.333.468.877;42.413.468.877;41.463.468.877;40.713.468.877;39.538.468.877
371 - PANGKAL PINANG;373 - KCP SUNGAILIAT;Giro;CASA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
371 - PANGKAL PINANG;373 - KCP SUNGAILIAT;Tabungan;CASA;7.297.493.440;7.442.572.038;7.839.818.149;6.223.679.552;4.646.002.102;5.958.597.353;5.162.589.070;4.894.616.580;5.007.587.368;5.131.099.261;5.283.142.320;10.740.548.162;10.685.665.419;25.897.956.712;9.201.799.686;10.961.651.544;12.839.199.987;12.429.645.107;11.804.570.909;10.777.588.446;9.593.469.701
371 - PANGKAL PINANG;495 - KCP KOBA;Deposito;TD;4.364.924.839;4.366.786.310;4.368.533.441;4.370.335.455;4.372.183.206;4.374.058.398;4.375.910.722;4.877.749.326;5.780.085.483;6.532.276.539;6.534.098.564;5.576.746.481;5.579.425.397;5.582.104.313;5.584.630.147;5.435.391.982;5.438.013.492;5.440.660.515;5.142.039.123;5.674.628.742;5.675.419.679
371 - PANGKAL PINANG;495 - KCP KOBA;Giro;CASA;375.000;355.000;335.000;315.000;295.000;275.000;255.000;235.000;0;0;0;0;0;0;0;0;0;0;0;0;0
371 - PANGKAL PINANG;495 - KCP KOBA;Tabungan;CASA;12.065.998.823;11.698.231.987;12.964.396.757;12.702.143.099;12.618.283.943;12.410.329.461;10.575.148.933;9.830.142.408;8.825.425.948;8.656.826.475;8.506.311.739;8.372.450.462;8.382.793.127;8.247.904.781;9.172.986.574;8.204.473.844;8.347.409.448;9.546.522.917;10.067.956.535;9.606.293.039;9.615.920.442
421 - PADANG;421 - PADANG;Deposito;TD;22.400.477.533;21.950.012.135;29.779.714.719;20.814.770.466;19.768.092.448;18.949.866.372;18.552.466.293;17.370.046.956;16.951.767.561;15.785.372.712;15.261.745.668;15.263.108.676;13.314.501.530;13.765.894.384;13.617.150.183;13.280.000.000;13.280.000.000;14.380.000.000;14.230.000.000;13.680.000.000;12.780.000.000
421 - PADANG;421 - PADANG;Giro;CASA;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91;91,31;91,31
421 - PADANG;421 - PADANG;Tabungan;CASA;20.928.234.811;20.247.740.644;22.267.306.338;19.888.839.008;20.182.525.017;20.151.110.057;20.799.568.265;21.382.628.230;19.119.568.275;19.421.912.372;19.691.288.241;19.676.645.483;21.389.900.901;18.929.783.142;19.694.312.806;17.659.103.283;19.654.712.500;18.551.447.548;19.221.450.010;19.972.932.596;18.747.582.625
421 - PADANG;422 - KCP BUKITTINGGI;Deposito;TD;18.796.343.464;11.044.464.030;15.785.452.015;12.486.632.330;12.087.841.811;11.592.728.072;15.840.772.056;15.050.815.742;16.887.096.719;11.687.107.116;11.687.118.111;11.587.129.049;12.677.140.251;12.677.151.477;12.682.162.085;12.682.184.966;12.678.000.000;15.130.000.000;15.781.033.042;15.773.016.194;15.385.000.000
421 - PADANG;422 - KCP BUKITTINGGI;Giro;CASA;480.291.800;510.940.965;526.756.797;526.739.297;558.385.962;558.365.962;558.345.962;558.325.962;573.658.674;573.658.674;573.658.674;573.658.674;0;0;0;0;0;0;0;0;0
421 - PADANG;422 - KCP BUKITTINGGI;Tabungan;CASA;13.692.591.213;12.874.430.504;12.784.769.776;12.901.677.264;12.452.520.086;13.592.280.317;13.058.694.776;12.726.173.210;9.901.533.764;8.540.347.897;8.363.681.263;8.082.844.754;6.879.523.380;7.897.363.345;8.205.673.524;8.409.679.104;8.480.999.250;8.354.935.060;8.938.854.497;8.236.168.190;8.698.830.075
421 - PADANG;423 - KCP PAYAKUMBUH;Deposito;TD;40.930.000.000;46.030.000.000;45.980.000.000;45.480.000.000;45.480.000.000;45.480.000.000;46.080.000.000;44.080.000.000;44.080.000.000;43.930.000.000;40.430.000.000;9.430.000.000;39.180.000.000;38.630.000.000;34.130.000.000;32.630.000.000;32.630.000.000;30.630.000.000;26.630.000.000;26.336.900.000;23.336.900.000
421 - PADANG;423 - KCP PAYAKUMBUH;Giro;CASA;9.973.377;8.552.377;18.869.877;4.962.377;16.229.877;2.307.377;2.319.877;2.702.377;13.019.877;3.392.377;3.185.877;4.668.377;4.505.877;6.165.877;4.115.877;4.554.377;4.760.877;3.838.377;2.218.377;3.383.377;48.353.377
421 - PADANG;423 - KCP PAYAKUMBUH;Tabungan;CASA;14.809.185.448;14.827.439.069;14.611.993.036;17.797.063.801;17.203.330.546;15.589.961.840;15.215.027.637;14.913.295.176;12.994.392.302;14.117.665.725;19.119.279.229;14.015.869.196;15.285.337.745;13.202.901.469;14.652.889.786;14.933.775.939;18.280.793.027;18.795.481.571;17.143.098.693;15.341.459.890;15.284.736.879
421 - PADANG;424 - KCP SOLOK;Deposito;TD;8.770.000.000;5.670.000.000;5.520.000.000;5.370.000.000;5.120.000.000;5.070.000.000;5.070.000.000;3.970.000.000;3.900.000.000;4.400.000.000;4.400.000.000;4.400.000.000;4.400.000.000;4.400.000.000;4.400.000.000;4.400.000.000;4.400.000.000;4.200.000.000;3.100.000.000;3.100.000.000;3.100.000.000
421 - PADANG;424 - KCP SOLOK;Giro;CASA;107000000;107000000;107000000;107000000;107000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
421 - PADANG;424 - KCP SOLOK;Tabungan;CASA;4.153.417.272;4.104.526.004;4.068.418.781;4.385.990.294;4.663.941.268;4.459.661.601;5.349.801.747;6.405.967.424;4.182.397.194;4.103.126.289;3.824.761.974;4.222.074.297;4.355.724.708;3.753.332.295;4.522.424.748;4.671.972.827;3.262.318.060;4.192.234.732;5.036.779.750;4.853.579.706;4.879.560.524
431 - BENGKULU;431 - BENGKULU;Deposito;TD;23.065.867.517;22.215.601.018;23.637.611.609;22.789.938.552;23.480.223.464;23.451.843.271;24.884.235.855;25.540.168.197;24.411.454.843;22.948.822.504;23.404.307.061;23.191.592.916;23.218.659.258;22.351.912.598;22.258.186.211;21.312.326.627;19.296.866.766;19.699.840.648;19.604.573.409;18.905.854.300;18.907.343.075
431 - BENGKULU;431 - BENGKULU;Giro;CASA;300.899.738;236.292.003;943.606.785;558.975.566;293.239.847;321.369.628;304.600.910;323.152.191;151.157.892;197.505.673;216.116.954;140.543.736;267.856.017;279.014.298;1.686.358.079;383.161.861;170.028.142;105.088.923;92.842.704;44.273.985;30.342.001
431 - BENGKULU;431 - BENGKULU;Tabungan;CASA;20.364.881.106;20.998.711.032;19.503.075.141;19.246.806.806;18.851.798.165;17.963.224.224;17.358.120.140;14.947.106.966;13.020.945.942;12.227.826.390;11.814.390.751;11.735.968.454;10.755.857.901;10.430.739.115;11.196.029.537;11.031.471.001;10.371.875.631;10.257.069.484;13.360.088.383;14.070.788.950;13.981.288.809
431 - BENGKULU;432 - KCP CURUP;Deposito;TD;11.678.472.002;12.581.545.761;13.581.606.378;13.482.275.181;11.916.550.869;14.216.830.652;14.417.107.023;14.817.381.411;14.254.308.621;17.784.524.981;19.084.788.430;23.883.000.000;22.918.000.000;21.018.000.000;21.468.000.000;21.698.000.000;18.998.000.000;17.418.000.000;18.419.500.000;18.004.500.000;16.604.500.000
431 - BENGKULU;432 - KCP CURUP;Giro;CASA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
431 - BENGKULU;432 - KCP CURUP;Tabungan;CASA;30.239.839.661;29.241.289.265;26.676.875.485;26.133.451.668;27.038.301.029;25.636.495.193;25.856.951.342;26.417.922.324;30.084.003.392;25.629.993.343;26.511.952.856;26.459.306.951;27.532.597.855;25.488.425.613;26.009.506.148;24.969.133.718;24.190.328.731;24.767.695.079;25.418.881.741;23.791.459.769;23.569.802.902
431 - BENGKULU;441 - JAMBI;Deposito;TD;21.039.862.455;22.106.579.186;17.545.209.422;14.899.752.364;14.604.111.777;14.323.269.893;14.804.212.195;14.733.386.049;12.653.242.314;11.807.983.186;11.767.663.945;12.302.170.968;13.127.423.959;12.250.902.896;11.901.910.710;12.500.394.291;12.284.172.662;11.739.363.223;14.497.464.906;14.391.961.306;14.861.669.590
431 - BENGKULU;441 - JAMBI;Giro;CASA;1.045.020.594;870.760.395;337.100;317.100;297.100;277.100;257.100;237.100;217.100;197.100;177.100;157.100;137.100;117.100;97.100;77.100;77.100;42.100;24.600;24.600;24.600
431 - BENGKULU;441 - JAMBI;Tabungan;CASA;25.667.872.549;22.103.468.902;21.847.239.619;23.681.158.867;22.931.303.895;22.311.507.436;23.004.800.817;21.679.227.294;19.853.302.498;18.106.917.441;12.180.624.285;12.382.439.171;11.891.165.561;11.969.854.006;13.255.762.600;13.235.134.094;13.467.611.493;13.728.549.985;13.322.890.583;12.740.184.979;12.718.065.764
431 - BENGKULU;442 - KCP MUARA BUNGO;Deposito;TD;6.150.000.000;6.300.000.000;7.440.000.000;7.540.000.000;7.440.000.000;8.240.000.000;8.240.000.000;7.440.000.000;7.940.000.000;8.940.000.000;8.943.056.816;10.196.019.345;10.199.070.893;10.202.128.804;10.204.972.401;10.208.081.687;10.911.043.653;11.164.105.018;11.267.067.350;11.070.130.206;11.073.191.102
431 - BENGKULU;442 - KCP MUARA BUNGO;Giro;CASA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
431 - BENGKULU;442 - KCP MUARA BUNGO;Tabungan;CASA;4.895.966.860;4.827.329.821;6.001.132.218;5.957.798.910;6.423.451.377;6.243.881.600;5.830.482.059;6.072.286.745;6.081.061.083;7.605.939.440;9.096.213.491;8.110.377.044;9.412.949.080;9.050.996.671;8.734.940.685;7.412.681.656;8.107.391.748;9.445.179.444;9.289.165.398;8.279.120.263;8.345.105.210
431 - BENGKULU;473 - KCP MANNA BENGKULU;Deposito;TD;6.196.050.000;6.196.050.000;6.196.050.000;6.196.050.000;6.170.050.000;6.246.050.000;6.246.050.000;6.246.050.000;6.246.050.000;6.130.050.000;5.980.050.000;5.480.000.000;5.480.000.000;5.480.000.000;5.480.000.000;5.480.000.000;5.480.000.000;5.960.000.000;5.480.000.000;5.480.000.000;5.480.000.000
431 - BENGKULU;473 - KCP MANNA BENGKULU;Giro;CASA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
431 - BENGKULU;473 - KCP MANNA BENGKULU;Tabungan;CASA;19.462.424.011;19.803.076.393;19.619.542.541;19.639.763.802;19.809.143.094;18.938.322.886;20.321.500.120;11.465.681.154;9.840.754.366;10.119.912.787;9.957.928.869;7.896.379.866;7.320.977.470;7.473.811.447;8.451.747.897;8.140.356.701;8.638.310.732;9.591.780.727;10.368.388.101;10.356.332.453;10.148.274.661
